"country","admin1","id1","admin2","id2","type","alt_names"
"Afghanistan","Kandahar","AFG.15_1","Spin Boldak","AFG.15.13_1","Wuleswali",NA
"Afghanistan","Kapisa","AFG.16_1","Alasay","AFG.16.1_1","Wuleswali",NA
"Afghanistan","Kapisa","AFG.16_1","Kohband","AFG.16.2_1","Wuleswali",NA
"Afghanistan","Kapisa","AFG.16_1","Kohistan","AFG.16.3_1","Wuleswali",NA
"Afghanistan","Kapisa","AFG.16_1","Mahmud Raqi","AFG.16.4_1","Wuleswali",NA
"Afghanistan","Kapisa","AFG.16_1","Nijrab","AFG.16.5_1","Wuleswali",NA
"Afghanistan","Kapisa","AFG.16_1","Tagab","AFG.16.6_1","Wuleswali",NA
"Afghanistan","Khost","AFG.17_1","Bak","AFG.17.1_1","Wuleswali",NA
"Afghanistan","Khost","AFG.17_1","Gurbuz","AFG.17.2_1","Wuleswali",NA
"Afghanistan","Khost","AFG.17_1","Jaji Maydan","AFG.17.3_1","Wuleswali",NA
"Afghanistan","Khost","AFG.17_1","Khost (Matun)","AFG.17.4_1","Wuleswali",NA
"Afghanistan","Khost","AFG.17_1","Mando Zayi","AFG.17.5_1","Wuleswali",NA
"Afghanistan","Khost","AFG.17_1","Musa Khel","AFG.17.6_1","Wuleswali",NA
"Afghanistan","Khost","AFG.17_1","Nadir Shah Kot","AFG.17.7_1","Wuleswali",NA
"Afghanistan","Khost","AFG.17_1","Qalandar","AFG.17.8_1","Wuleswali",NA
"Afghanistan","Khost","AFG.17_1","Sabari","AFG.17.9_1","Wuleswali",NA
"Afghanistan","Khost","AFG.17_1","Spera","AFG.17.10_1","Wuleswali",NA
"Afghanistan","Khost","AFG.17_1","Tani","AFG.17.11_1","Wuleswali",NA
"Afghanistan","Khost","AFG.17_1","Tere Zayi","AFG.17.12_1","Wuleswali",NA
"Afghanistan","Kunar","AFG.18_1","Asad abad","AFG.18.1_1","Wuleswali",NA
"Afghanistan","Kunar","AFG.18_1","Bar Kunar","AFG.18.2_1","Wuleswali",NA
"Afghanistan","Kunar","AFG.18_1","Chapa Dara","AFG.18.3_1","Wuleswali",NA
"Afghanistan","Kunar","AFG.18_1","Chawkay","AFG.18.4_1","Wuleswali",NA
"Afghanistan","Kunar","AFG.18_1","Dangam","AFG.18.5_1","Wuleswali",NA
"Afghanistan","Kunar","AFG.18_1","Dara-i-Pech","AFG.18.6_1","Wuleswali","Pech"
"Afghanistan","Kunar","AFG.18_1","Khas Kunar","AFG.18.7_1","Wuleswali",NA
"Afghanistan","Kunar","AFG.18_1","Marwara","AFG.18.8_1","Wuleswali","Marawara"
"Afghanistan","Kunar","AFG.18_1","Nali","AFG.18.9_1","Wuleswali","Nari"
"Afghanistan","Kunar","AFG.18_1","Narang Wa Badil","AFG.18.10_1","Wuleswali","Narang"
"Afghanistan","Kunar","AFG.18_1","Nurgal","AFG.18.11_1","Wuleswali",NA
"Afghanistan","Kunar","AFG.18_1","Sirkanay","AFG.18.12_1","Wuleswali",NA
"Afghanistan","Kunduz","AFG.19_1","Ali abad","AFG.19.1_1","Wuleswali",NA
"Afghanistan","Kunduz","AFG.19_1","Char Dara","AFG.19.2_1","Wuleswali","Chahar Dara"
"Afghanistan","Kunduz","AFG.19_1","Dashti Archi","AFG.19.3_1","Wuleswali","Archi"
"Afghanistan","Kunduz","AFG.19_1","Hazrati Imam","AFG.19.4_1","Wuleswali","Imam Sahib"
"Afghanistan","Kunduz","AFG.19_1","Khan Abad","AFG.19.5_1","Wuleswali",NA
"Afghanistan","Kunduz","AFG.19_1","Kunduz","AFG.19.6_1","Wuleswali",NA
"Afghanistan","Kunduz","AFG.19_1","Qala-I-Zal","AFG.19.7_1","Wuleswali",NA
"Afghanistan","Laghman","AFG.20_1","Alingar","AFG.20.1_1","Wuleswali",NA
"Afghanistan","Laghman","AFG.20_1","Alishing","AFG.20.2_1","Wuleswali",NA
"Afghanistan","Laghman","AFG.20_1","Dawlat Shah","AFG.20.3_1","Wuleswali",NA
"Afghanistan","Laghman","AFG.20_1","Mihtarlam","AFG.20.4_1","Wuleswali",NA
"Afghanistan","Laghman","AFG.20_1","Qarghayi","AFG.20.5_1","Wuleswali",NA
"Afghanistan","Logar","AFG.21_1","Baraki Barak","AFG.21.1_1","Wuleswali",NA
