Time.Series.ID,Country,Admin.1,Admin.2,City.,year,GID_1,GID_2,population_per_1km,EVI,elevation,LC_10,LC_20,LC_30,LC_40,LC_120,LC_122,LC_130,LC_150,LC_200,LC_11,LC_12,LC_100,LC_190,LC_210,LC_153,LC_170,LC_180,LC_201,LC_60,LC_62,LC_110,LC_152,LC_50,LC_61,LC_70,LC_121,LC_202,LC_80,LC_71,LC_160,worldclim_1,worldclim_10,worldclim_11,worldclim_12,worldclim_13,worldclim_14,worldclim_15,worldclim_16,worldclim_17,worldclim_18,worldclim_19,worldclim_2,worldclim_3,worldclim_4,worldclim_5,worldclim_6,worldclim_7,worldclim_8,worldclim_9
8,Iran,Hormozgan,Minab,Rural,1984,IRN.11_1,IRN.11.13_1,31.01858866,465.4583282,651.5,0.011071423,0,0.001857091,0.00150938,0.00380111,0.009143209,0,0.019282136,0.94601002,0,0,0,0.003405984,0.002900223,0,7.90E-06,1.58E-05,0,0,0,0.000995717,0,0,0,0,0,0,0,0,0,25.94166756,32.21666718,18.58333397,254,47,5,73.07491302,132,23,47,119,8.583333015,36.95652008,563.7388916,36.20000076,13.10000038,23.40000153,19.60000038,27.16666603
8,Iran,Hormozgan,Minab,Rural,1985,IRN.11_1,IRN.11.13_1,31.01858866,465.4583282,651.5,0.011071423,0,0.001857091,0.00150938,0.00380111,0.009143209,0,0.019282136,0.94601002,0,0,0,0.003405984,0.002900223,0,7.90E-06,1.58E-05,0,0,0,0.000995717,0,0,0,0,0,0,0,0,0,25.94166756,32.21666718,18.58333397,254,47,5,73.07491302,132,23,47,119,8.583333015,36.95652008,563.7388916,36.20000076,13.10000038,23.40000153,19.60000038,27.16666603
9,Iran,Hormozgan,Minab,Rural,1984,IRN.11_1,IRN.11.13_1,31.01858866,465.4583282,651.5,0.011071423,0,0.001857091,0.00150938,0.00380111,0.009143209,0,0.019282136,0.94601002,0,0,0,0.003405984,0.002900223,0,7.90E-06,1.58E-05,0,0,0,0.000995717,0,0,0,0,0,0,0,0,0,25.94166756,32.21666718,18.58333397,254,47,5,73.07491302,132,23,47,119,8.583333015,36.95652008,563.7388916,36.20000076,13.10000038,23.40000153,19.60000038,27.16666603
9,Iran,Hormozgan,Minab,Rural,1985,IRN.11_1,IRN.11.13_1,31.01858866,465.4583282,651.5,0.011071423,0,0.001857091,0.00150938,0.00380111,0.009143209,0,0.019282136,0.94601002,0,0,0,0.003405984,0.002900223,0,7.90E-06,1.58E-05,0,0,0,0.000995717,0,0,0,0,0,0,0,0,0,25.94166756,32.21666718,18.58333397,254,47,5,73.07491302,132,23,47,119,8.583333015,36.95652008,563.7388916,36.20000076,13.10000038,23.40000153,19.60000038,27.16666603
10,India,Gujarat,Kheda,Rural,1985,IND.11_1,IND.11.17_1,454.5308782,2598.166748,76,0.277594402,0.582453129,0.073893143,0.040335358,0.007393715,0,0.003960919,0,0,0.001804419,0,0,0.003740868,0.004731098,0,0.000132031,0.000198046,0,0.003564827,0,0,0,0.000198046,0,0,0,0,0,0,0,26.95416641,32.34999847,20.81666756,815,310,1,155.3201752,699,4,90,4,13.5666666,45.79096222,447.8805542,41.09999847,11.19999981,29.79999924,28.43333244,26.58333397
11,India,West Bengal,Kolkata,Urban,1985,IND.36_1,IND.36.11_1,31017.1206,1561.041687,0,0.007714561,0.011571842,0.003857281,0.027965284,0,0,0.00096432,0,0,0,0,0,0.905496625,0.042430087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.91666603,30.48333359,21.23333359,1633.5,344,5,98.69612122,975,40,436,40,9.774999619,43.79629898,385.4143524,35.90000153,13.60000038,22.29999924,29.21666718,21.23333359
11,India,West Bengal,Kolkata,Urban,1986,IND.36_1,IND.36.11_1,31017.1206,1561.041687,0,0.007714561,0.011571842,0.003857281,0.027965284,0,0,0.00096432,0,0,0,0,0,0.905496625,0.042430087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.91666603,30.48333359,21.23333359,1633.5,344,5,98.69612122,975,40,436,40,9.774999619,43.79629898,385.4143524,35.90000153,13.60000038,22.29999924,29.21666718,21.23333359
12,India,West Bengal,Kolkata,Urban,1986,IND.36_1,IND.36.11_1,31017.1206,1561.041687,0,0.007714561,0.011571842,0.003857281,0.027965284,0,0,0.00096432,0,0,0,0,0,0.905496625,0.042430087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.91666603,30.48333359,21.23333359,1633.5,344,5,98.69612122,975,40,436,40,9.774999619,43.79629898,385.4143524,35.90000153,13.60000038,22.29999924,29.21666718,21.23333359
13,India,Gujarat,Kheda,Rural,1987,IND.11_1,IND.11.17_1,454.5308782,2598.166748,76,0.277594402,0.582453129,0.073893143,0.040335358,0.007393715,0,0.003960919,0,0,0.001804419,0,0,0.003740868,0.004731098,0,0.000132031,0.000198046,0,0.003564827,0,0,0,0.000198046,0,0,0,0,0,0,0,26.95416641,32.34999847,20.81666756,815,310,1,155.3201752,699,4,90,4,13.5666666,45.79096222,447.8805542,41.09999847,11.19999981,29.79999924,28.43333244,26.58333397
13,India,Gujarat,Kheda,Rural,1988,IND.11_1,IND.11.17_1,454.5308782,2598.166748,76,0.277594402,0.582453129,0.073893143,0.040335358,0.007393715,0,0.003960919,0,0,0.001804419,0,0,0.003740868,0.004731098,0,0.000132031,0.000198046,0,0.003564827,0,0,0,0.000198046,0,0,0,0,0,0,0,26.95416641,32.34999847,20.81666756,815,310,1,155.3201752,699,4,90,4,13.5666666,45.79096222,447.8805542,41.09999847,11.19999981,29.79999924,28.43333244,26.58333397
