ISO,cell,elevation,population_density,EVI,cattle,goat,sheep,irrigation,LC_210,LC_160,LC_170,LC_130,LC_200,LC_150,LC_190,LC_120,LC_153,LC_202,LC_100,LC_152,LC_30,LC_40,LC_201,LC_60,LC_20,LC_180,LC_110,LC_10,LC_62,LC_61,LC_70,LC_11,LC_122,LC_50,LC_90,annual_mean_temperature,mean_temperature_warmest_quarter,mean_temperature_coldest_quarter,annual_precipitation,precipitation_wettest_month,precipitation_driest_month,precipitation_seasonality_cv,precipitation_wettest_quarter,precipitation_driest_quarter,precipitation_warmest_quarter,precipitation_coldest_quarter,mean_diurnal_range,isothermality,temperature_seasonality,max_temperature_warmest_month,max_temperature_coldest_month,temperature_annual_range,mean_temperature_wettest_quarter,worldclim_9,nrow,ncol,lon,lat
SOM,308,419,1226.636613,1226.636613,82.42784436,82.42784436,82.42784436,0.118939102,0,0,0,0.18132716,0,0.033950617,0.009259259,0.55941358,0,0,0,0.216049383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.39999991,28.71365752,24.1097221,38.15277778,17.04861111,0,112.8860029,26.52777778,1,1,10.47916667,9.683449056,61.49371701,191.6225654,34.48611103,18.739583,15.74652803,24.27141199,28.71365752,136,104,50.93208318,11.74125015
SOM,309,358,1145.984721,1145.984721,108.781595,108.781595,108.781595,0,0,0,0,0.233024691,0.00154321,0.027777778,0.000771605,0.558641975,0,0,0.000771605,0.177469136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.75028936,27.97824073,23.54791664,45.61111111,20.30555556,0,117.75684,32.20833333,1.055555556,1.055555556,12.90277778,9.088541554,60.77237458,182.8865754,33.46041671,18.50763889,14.95277782,23.72731484,27.97824073,136,104,51.03208318,11.74125015
SOM,310,297,1491.589142,1491.589142,124.942461,124.942461,124.942461,0,0,0,0,0.027006173,0,0,0.005401235,0.898148148,0,0,0.021604938,0.036265432,0,0.00462963,0.005401235,0,0.00154321,0,0,0,0,0,0,0,0,0,0,24.27034142,26.44456021,22.05335644,64.64583333,25.3125,0.590277778,109.4263801,41.30555556,2.743055556,2.743055556,17.72222222,8.871469895,61.01381032,180.6222684,31.74513886,17.2048611,14.54027775,22.23032408,26.44456021,136,104,51.13208318,11.74125015
SOM,311,72.5,1692.657571,1692.657571,156.6786067,156.6786067,156.6786067,0,0.013474495,0,0,0.186717998,0.179980751,0.03946102,0.021174206,0.491819057,0.001924928,0.020211742,0.008662175,0.028873917,0,0,0.00481232,0,0,0.002887392,0,0,0,0,0,0,0,0,0,25.17141875,27.13608825,23.20702477,56.69421488,24.65289256,0.231404959,123.4730306,40.27272727,1.20661157,2.115702479,17.04132231,8.685261718,62.40804385,161.0329151,32.37685962,18.45702483,13.91983478,23.42327821,27.12382933,136,104,51.23208318,11.74125015
SOM,406,-26,2125.750692,2125.750692,148.2281009,148.2281009,148.2281009,0,0.023354565,0,0,0.106157113,0.057324841,0,0.044585987,0.460721868,0,0,0,0,0,0.116772824,0.182590234,0,0.008492569,0,0,0,0,0,0,0,0,0,0,26.04113473,29.09397178,23.11312063,27.17021277,9.021276596,0.234042553,82.24723256,13.44680851,1.404255319,1.404255319,4.808510638,8.621276531,52.76140229,251.7897027,34.25319152,17.91489354,16.33829799,24.05035465,29.0524824,136,104,50.33208318,11.64125015
SOM,407,610,2434.600214,2434.600214,156.9752904,156.9752904,156.9752904,0,0.000924214,0,0,0.029574861,0.010166359,0.002772643,0.004621072,0.757855823,0,0,0,0,0,0.081330869,0.067467652,0,0.036044362,0,0.009242144,0,0,0,0,0,0,0,0,24.74270837,27.52772982,21.92040231,43.22413793,12.50862069,0.879310345,77.21477311,19.06896552,4.198275862,4.24137931,7.74137931,9.068318934,55.56897706,238.2185639,32.90517236,16.5887931,16.31637928,22.91479879,27.50531608,136,104,50.43208318,11.64125015
SOM,408,579,1285.897682,1285.897682,140.6342661,140.6342661,140.6342661,0,0,0,0,0.00154321,0,0,0,0.925154321,0,0,0.010030864,0.007716049,0,0.021604938,0.007716049,0.000771605,0.014660494,0,0.008487654,0.002314815,0,0,0,0,0,0,0,24.2421586,26.87893514,21.49791661,51.76388889,14.89583333,1.215277778,79.30372869,23.08333333,5.465277778,5.625,10.0625,9.109664334,56.68051826,228.9422634,32.30624992,16.2354166,16.0708333,22.37962956,26.54432869,136,104,50.53208318,11.64125015
SOM,409,549,642.2832999,642.2832999,101.421277,101.421277,101.421277,0,0,0,0,0,0,0,0,0.975308642,0,0,0.008487654,0,0,0,0.007716049,0,0.00154321,0,0.006944444,0,0,0,0,0,0,0,0,24.23226268,26.7797453,21.55740735,53.48611111,16.50694444,1.145833333,83.11843822,25.72916667,5.236111111,5.381944444,11.09722222,8.987673634,57.25619515,221.0302652,32.15972212,16.46180554,15.69791658,21.9365741,26.62893511,136,104,50.63208318,11.64125015
SOM,410,366,743.8463457,743.8463457,92.55352598,92.55352598,92.55352598,0,0,0,0,0.00308642,0,0.010030864,0,0.929783951,0,0,0.002314815,0.054783951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.90283563,27.36527783,22.35405086,48.04166667,17.23611111,0.673611111,93.06789504,26.76388889,3.5,3.5625,10.84027778,9.217476838,58.81514597,211.1257088,32.85000005,17.17777777,15.67222228,22.45613411,27.35682877,136,104,50.73208318,11.64125015
SOM,411,305,740.5945489,740.5945489,81.71790888,81.71790888,81.71790888,0,0,0,0,0.009259259,0,0.014660494,0,0.874228395,0,0,0.006944444,0.094907407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.54901616,27.92835645,23.14340276,44.38194444,17.74305556,0.298611111,102.9474068,27.67361111,2.361111111,2.388888889,11.02777778,9.185648163,59.58248043,200.2384988,33.41111098,17.99444448,15.41666651,23.27002324,27.92361106,136,104,50.83208318,11.64125015
SOM,412,305,794.488414,794.488414,83.52124357,83.52124357,83.52124357,0,0,0,0,0,0,0.006944444,0,0.915123457,0,0,0.003858025,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.96927088,27.27592578,22.67048613,51.97916667,20.36805556,0.465277778,104.1017645,32.15972222,2.708333333,2.708333333,13.18055556,9.110300918,60.36379001,191.0183926,32.69652771,17.60416665,15.09236105,22.82314821,27.27592578,136,104,50.93208318,11.64125015
SOM,413,289,1081.660557,1081.660557,68.92695966,68.92695966,68.92695966,0,0,0,0,0.00462963,0,0.00308642,0.020061728,0.949074074,0,0,0.012345679,0.010802469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.10766783,26.32164343,21.90775482,61.76388889,22.89583333,0.736111111,100.5632472,36.79166667,3.458333333,3.458333333,15.61805556,8.927256922,60.7011799,181.6338,31.62430553,16.91736116,14.70694437,22.08206019,26.32164343,136,104,51.03208318,11.64125015
SOM,414,274,1790.237914,1790.237914,80.02212818,80.02212818,80.02212818,0,0,0,0,0.115740741,0,0.010030864,0.046296296,0.713734568,0,0,0.00154321,0.112654321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.56874998,25.65798616,21.46979164,68.90277778,24.4375,0.930555556,96.90090254,39.56944444,4.138888889,4.138888889,17.15972222,8.97395828,61.96513595,171.9558494,30.95555551,16.47083335,14.48472216,21.6530093,25.65798616,136,104,51.13208318,11.64125015
SOM,415,-3,1109.904189,1109.904189,101.5378556,101.5378556,101.5378556,0,0.014240506,0,0,0.337025316,0.025316456,0.034810127,0.025316456,0.5,0,0,0.003164557,0.028481013,0,0,0.03164557,0,0,0,0,0,0,0,0,0,0,0,0,23.77680919,25.69692978,21.8320176,68.61842105,24.53947368,0.723684211,102.0926339,40.51315789,3.657894737,5.039473684,18.05263158,8.677083329,62.75598847,158.6188322,30.84605267,17.01710513,13.82894754,22.03859653,25.69364028,136,104,51.23208318,11.64125015
SOM,509,-50,1719.190306,1719.190306,38.36008814,38.36008814,38.36008814,0,0.027372263,0,0,0.006386861,0.02189781,0.210766423,0,0.568430657,0,0,0.002737226,0.091240876,0,0.026459854,0.02189781,0,0.012773723,0,0,0,0.010036496,0,0,0,0,0,0,25.48714077,28.66781601,22.49698277,32.45689655,8.75862069,0.336206897,72.07450396,13.67241379,2.379310345,2.387931034,5.344827586,9.566810386,55.0406677,260.6319683,34.18017226,16.80862073,17.37155151,24.07629322,28.60775852,136,104,50.23208318,11.54125015
SOM,510,412,2280.037932,2280.037932,36.9494663,36.9494663,36.9494663,0,0,0,0,0.046296296,0.008487654,0.094135802,0,0.712191358,0,0,0.00308642,0.132716049,0,0,0.00154321,0,0,0,0.00154321,0,0,0,0,0,0,0,0,24.96221062,27.9221065,22.08194448,39.52777778,10.59027778,0.652777778,71.53169714,16.38888889,3.520833333,3.520833333,6.722222222,9.736805532,56.67390177,247.8493846,33.53263893,16.35763893,17.17500003,23.49537035,27.91539355,136,104,50.33208318,11.54125015
SOM,511,457,825.1280508,825.1280508,38.16413999,38.16413999,38.16413999,0,0,0,0,0.033950617,0,0.00462963,0,0.881944444,0,0,0.010802469,0.064814815,0,0.003858025,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52216421,27.26446746,21.76678244,45.00694444,12.45833333,1.034722222,72.61307547,19.14583333,4.486111111,4.555555556,7.666666667,9.601851821,57.58068887,234.2961078,32.81458326,16.1381945,16.67638878,22.79872689,27.24456008,136,104,50.43208318,11.54125015
SOM,512,434,665.2888687,665.2888687,49.38436933,49.38436933,49.38436933,0,0,0,0,0.013888889,0,0.00154321,0,0.961419753,0,0,0.010802469,0.009259259,0,0.00154321,0.00154321,0,0,0,0,0,0,0,0,0,0,0,0,23.84756949,26.38958336,21.20474539,54.27777778,14.83333333,1.326388889,71.80712223,22.8125,5.805555556,6.159722222,9.548611111,9.540046228,58.73000704,221.3823697,31.90069428,15.65624997,16.24444429,22.0038194,26.37731481,136,104,50.53208318,11.54125015
SOM,513,411,621.8608799,621.8608799,74.97369138,74.97369138,74.97369138,0,0,0,0,0,0,0,0,0.945216049,0,0,0.038580247,0.009259259,0,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,22.78897572,25.22835641,20.20347227,71.16666667,17.67361111,2.118055556,66.91256624,28.16666667,9.118055556,9.527777778,13.52083333,9.495891253,59.88498327,212.9892103,30.62569442,14.76805559,15.85763878,21.31921297,24.84780088,136,104,50.63208318,11.54125015
SOM,514,331.5,884.2811465,884.2811465,154.1543524,154.1543524,154.1543524,0,0,0,0,0.00154321,0,0,0.000771605,0.976080247,0,0,0.002314815,0.010030864,0,0,0,0,0,0,0,0.009259259,0,0,0,0,0,0,0,22.80034716,25.20601849,20.24861107,73.67361111,19.86805556,1.986111111,72.48650371,31.625,8.583333333,8.9375,14.46527778,9.283680598,59.96817684,208.7243037,30.53124992,15.04999996,15.48124996,20.66064817,25.14120368,136,104,50.73208318,11.54125015
