ISO,cell,elevation,population_density,EVI,cattle,goat,sheep,irrigation,LC_200,LC_202,LC_210,LC_150,LC_180,LC_130,LC_120,LC_170,LC_201,LC_110,LC_30,LC_40,LC_153,LC_190,LC_20,LC_100,LC_62,LC_60,LC_11,LC_10,worldclim_1,worldclim_10,worldclim_11,worldclim_12,worldclim_13,worldclim_14,worldclim_15,worldclim_16,worldclim_17,worldclim_18,worldclim_19,worldclim_2,worldclim_3,worldclim_4,worldclim_5,worldclim_6,worldclim_7,worldclim_8,worldclim_9,nrow,ncol,lon,lat
DJI,142,274,2562.72192001343,2562.72192001343,675.042811076496,675.042811076496,675.042811076496,0,0.726851851851852,0,0,0.00231481481481482,0.260030864197531,0.00694444444444444,0,0,0.00385802469135803,0,0,0,0,0,0,0,0,0,0,0,28.5952256917954,33.1729164785809,24.2386574347814,161.458333333333,32.5347222222222,3.69444444444444,56.1404082775116,73.6458333333333,24.3541666666667,58.5694444444444,30.5347222222222,8.67413195305401,46.5426154666477,366.62818145752,38.4583334657881,19.8361110422346,18.622222410308,32.6112269030677,30.5020833810171,18,17,42.3070831813,11.8579168175
DJI,143,716,2714.85457038879,2714.85457038879,712.03086901563,712.03086901563,712.03086901563,0,0.270833333333333,0,0,0.00308641975308642,0.600308641975309,0.0563271604938272,0,0,0.0694444444444445,0,0,0,0,0,0,0,0,0,0,0,28.0205150975121,32.6226850748062,23.6675925784641,175.125,30.2083333333333,3.77777777777778,47.5625667572022,69.7083333333333,26.4722222222222,53.7361111111111,40.3125,8.66186338000827,46.8154326544868,367.326004240248,37.6826388570998,19.1909721957313,18.4916666613685,32.0638888941871,30.1234952873654,18,17,42.4070831813,11.8579168175
DJI,144,906.5,2771.4561882019,2771.4561882019,722.873560692115,722.873560692115,722.873560692115,0,0.0933641975308642,0,0,0,0.752314814814815,0.00231481481481482,0,0,0.152006172839506,0,0,0,0,0,0,0,0,0,0,0,24.5020543734233,29.2486110925674,20.0333333015442,298.25,41.3541666666667,7.28472222222222,40.8052924209171,104.916666666667,46.4652777777778,75.3263888888889,85.9583333333333,9.77540510230594,49.4955138895247,380.276118596395,34.7326388888889,14.988888906108,19.7437499099308,28.6509258614646,26.7950231101778,18,17,42.5070831813,11.8579168175
DJI,145,152,5546.45078849793,5546.45078849793,994.398393612435,994.398393612435,994.398393612435,0,0.523148148148148,0,0,0,0.409722222222222,0.00308641975308642,0,0,0.0640432098765432,0,0,0,0,0,0,0,0,0,0,0,23.5578703218036,28.4261574745178,18.9839120308558,330.895833333333,45.1944444444445,8.43055555555556,40.278167963028,115.854166666667,52.4722222222222,82.2291666666667,95.3125,10.2354166441494,50.1492632495032,390.238955391778,34.2555555767483,13.8472222685814,20.408333407508,26.4481480783886,26.9475694232517,18,17,42.6070831813,11.8579168175
DJI,146,76,8585.33123779297,8585.33123779297,1092.02946405277,1092.02946405277,1092.02946405277,0,0.347222222222222,0,0,0,0.297067901234568,0.114969135802469,0.025462962962963,0,0.172067901234568,0.0316358024691358,0,0.0108024691358025,0,0,0,0.000771604938271605,0,0,0,0,25.3987847036786,30.4815971851349,20.7381945053736,271.111111111111,37.1805555555556,4.66666666666667,42.7787280612522,97.3541666666667,33.3611111111111,52.25,89.8819444444444,9.16898150576485,46.700248003006,400.510271072388,35.8527777724796,16.2340277499623,19.6187500158946,21.2055554919773,29.6262732214398,18,17,42.7070831813,11.8579168175
DJI,147,0,6498.56458282471,6498.56458282471,863.627500664438,863.627500664438,863.627500664438,0,0.552469135802469,0,0,0.00694444444444444,0.0895061728395062,0.256172839506173,0,0,0.0910493827160494,0.00385802469135803,0,0,0,0,0,0,0,0,0,0,27.066030131446,32.1217592159907,22.5071758826574,214.708333333333,32.9027777777778,2.85416666666667,43.3378629949358,78.5416666666667,24.2847222222222,37.7013888888889,67.2430555555556,8.41724535491732,44.2389418284098,393.126649008857,37.344444460339,18.3361110885938,19.008333351877,23.0184027883742,31.1553240617116,18,17,42.8070831813,11.8579168175
DJI,148,0,6374.60670471192,6374.60670471192,840.474923442691,840.474923442691,840.474923442691,0,0.577932098765432,0,0,0,0.0933641975308642,0.185185185185185,0,0,0.136574074074074,0.00694444444444444,0,0,0,0,0,0,0,0,0,0,27.9299189647039,32.9643518792258,23.4274306032393,182.666666666667,28.7430555555556,1.88888888888889,43.8977121247186,67.25,19.2083333333333,28.9583333333333,56.125,7.96782403190931,42.9286461671193,389.248337639703,38.0097219944,19.4645833240615,18.5451386769613,23.8934027883742,31.9246528281106,18,17,42.9070831813,11.8579168175
DJI,149,0,4615.54470729828,4615.54470729828,831.09626296073,831.09626296073,831.09626296073,0,0.25177025963808,0,0.003933910306845,0,0.341463414634146,0.0999213217938631,0.00472069236821401,0,0.290322580645161,0.00786782061369001,0,0,0,0,0,0,0,0,0,0,28.2200519508786,33.2887732187907,23.7368055449592,164.611111111111,25.9791666666667,1.31944444444444,43.9957514339023,60.125,16.6736111111111,23.6319444444444,50.25,7.59739583068424,41.7983718448215,390.067290200128,38.175694598092,20.0041666958067,18.1715279022853,24.2673611508475,32.1975692907969,18,17,43.0070831813,11.8579168175
DJI,155,518,1200.99288702011,1200.99288702011,867.889584683054,867.889584683054,867.889584683054,0,0.946557971014493,0,0,0.0108695652173913,0,0.00815217391304348,0,0,0.0344202898550725,0,0,0,0,0,0,0,0,0,0,0,28.9598039418709,33.3852941048245,24.6462185002175,149.613445378151,38.436974789916,3.21848739495798,80.3119588258888,85.2016806722689,18.1848739495798,69.5882352941177,19.0672268907563,8.56470591280641,46.787974477816,360.14532342478,38.7546217782157,20.4504202674417,18.304201510774,32.7830531657243,26.4217087080499,18,17,41.9070831813,11.7579168175
DJI,156,525.5,1464.85810184479,1464.85810184479,890.080533742892,890.080533742892,890.080533742892,0,0.849537037037037,0,0,0,0.00231481481481482,0.099537037037037,0,0,0.0432098765432099,0.00540123456790123,0,0,0,0,0,0,0,0,0,0,26.7640913989809,31.2252314488093,22.3865740696589,211.75,46.7777777777778,5.36805555555556,66.7990162902408,107.777777777778,30.0625,85.125,34.5416666666667,9.19751156038708,48.421064986123,365.844271130032,36.7701389524672,17.7812499933773,18.9888889657127,30.5900463925468,24.3665509356393,18,17,42.0070831813,11.7579168175
